textFile,runtimeInMinutes,link,videoName
[20220102]mario_kart.txt,256,https://www.youtube.com/watch?v=VgNiaH7wRcw,【MARIO KART 8 DELUXE】ME VS YOU【NIJISANJI EN | Luca Kaneshiro】
[20211219]debut_stream.txt,24,https://www.youtube.com/watch?v=zniC34tfjrU,【DEBUT STREAM】THE MOB BOSS HAS ARRIVED【NIJISANJI EN | Luca Kaneshiro】
[20211220]debut2-0.txt,186,https://www.youtube.com/watch?v=jWpUiTPTfes,【INTRO 2.0 】WELCOME TO THE GANG【NIJISANJI EN | Luca Kaneshiro】
[20211220]getting_over_it.txt,27,https://www.youtube.com/watch?v=pL6I9Lc1IXM,【GUERRILLA】STREAMING UNTIL I BEAT THIS GAME【NIJISANJI EN | Luca Kaneshiro】
[20211221]lorevideo.txt,4,https://www.youtube.com/watch?v=eejfzwmNGYE,【LORE VIDEO】Luca Kaneshiro【NIJISANJI EN】
[20211222]pokemon1.txt,240,https://www.youtube.com/watch?v=YAPgOmwzdM4,【POKEMON SHINING PEARL】BLIND NUZLOCKE PLAYTHROUGH【NIJISANJI EN | Luca Kaneshiro】
[20211223]dokidoki1.txt,408,https://www.youtube.com/watch?v=d4XCxewKIjY,【DOKI DOKI LITERATURE CLUB +】BLIND PLAYTHROUGH VOICING ALL CHARACTERS【NIJISANJI EN | Luca Kaneshiro】
[20211227]superchat_celebration.txt,188,https://www.youtube.com/watch?v=2NdCHfJqtGI,【SILLY TALK LAWL】SUPERCHAT CELEBRATION【NIJISANJI EN | Luca Kaneshiro】
[20211227]uno_collab.txt,226,https://www.youtube.com/watch?v=Sft8ou9Robo,"【UNO COLLAB】YUNO WITH NINA, MYSTA AND SHU【NIJISANJI EN | Luca Kaneshiro】"
[20211228]second_shiny_bidoof.txt,5,https://www.youtube.com/watch?v=koj36Zdp-ho,POG! I CAN'T BELIEVE THIS HAPPENED!
[20211228]pokemon2.txt,399,https://www.youtube.com/watch?v=91Fjdtb7JfY,【POKEMON SHINING PEARL】MOST LUCKY AND UNLUCKY BOSS【NIJISANJI EN | Luca Kaneshiro】
[20211229]jump_king.txt,302,https://www.youtube.com/watch?v=_sUVkXsDRgI,【JUMP KING】PLAY TILL WE FINISH (HOPEFULLY)【NIJISANJI EN | Luca Kaneshiro
[20211230]dokdoki2.txt,347,https://www.youtube.com/watch?v=cMbCljkhVa4,【DOKI DOKI LITERATURE CLUB +】PART 2 VOICING ALL【NIJISANJI EN | Luca Kaneshiro】
[20211231]amnesia.txt,450,https://www.youtube.com/watch?v=UohFZuSBQsE,【Amnesia: The Dark Descent】NEW YEAR SCARE ME【NIJISANJI EN | Luca Kaneshiro】
[20220103]minecraft_collab.txt,277,https://www.youtube.com/watch?v=uVwc6dmY8as&t=2354s,【MINECRAFT】MINING DIAMONDSING【NIJISANJI EN | Luca Kaneshiro】
[20220104]superchat_reading1.txt,259,https://www.youtube.com/watch?v=-Dl0oRyYV3g,【ELLO】SUPERCHAT READING AND TALKING POGGERS POG【NIJISANJI EN | Luca Kaneshiro】
[20220105]a_way_out_collab1.txt,248,https://www.youtube.com/watch?v=deFah6jqn9g,【A WAY OUT】BREAKING IKE OUT OF JAIL【NIJISANJI EN | Luca Kaneshiro】
[20220106]outlast1.txt,204,https://www.youtube.com/watch?v=anJePMqtPM8,【OUTLAST II】SPOOKY FRIDAY BECAUSE THERE IS A COLLAB ON SATURDAY【NIJISANJI EN | Luca Kaneshiro】
[20220107] forest_collab.txt,229,https://www.youtube.com/watch?v=2wCYVViJxMk&t=7s,【THE FOREST COLLAB】CHAOS POV【NIJISANJI EN | Luca Kaneshiro】
[20220109]100k_celebration.txt,124,https://www.youtube.com/watch?v=HH8pDDpci58,【GUERILLA】100K CRAZY THANK YOU WOW【NIJISANJI EN | Luca Kaneshiro】
[20220109]super_mario_odyssey1.txt,329,https://www.youtube.com/watch?v=Ftpw4BX0l9U,【SUPER MARIO ODYSSEY】SUPER MARIO GALAXY LOVER GOES ON AN ODYSSEY POG【NIJISANJI EN | Luca Kaneshiro】
[20220110]devour_collab.txt,289,https://www.youtube.com/watch?v=v-l7frbdrbE,【DEVOUR】MEAN AND EVIL MAFIA BOSS SETS ON A JOURNEY TO FIGHT DEVOURER【NIJISANJI EN | Luca Kaneshiro】
[20220112]a_way_out_collab2.txt,288,https://www.youtube.com/watch?v=kG2CZuJ8QZg,【A WAY OUT】MAFIA BOSS SUCCEEDED NOW TRYING TO STAY OUT OF JAIL MONKAS【NIJISANJI EN | Luca Kaneshiro】
[20220114]monhun1.txt,195,https://www.youtube.com/watch?v=KMS9NVI1NQI,【MONSTER HUNTER RISE】MAFIA BOSS GETS ISEKAID AND HUNTS MONSTERS POG【NIJISANJI EN | Luca Kaneshiro】
[20220115]hand_sim_collab.txt,265,https://www.youtube.com/watch?v=zl7s82XvgD4,【HAND SIMULATOR COLLAB】MAFIA BOSS LEARNS HOW TO USE HANDS AGAIN POG【NIJISANJI EN | Luca Kaneshiro】
[20220117]sekiro1.txt,382,https://www.youtube.com/watch?v=Um1GdICcFbg,【SEKIRO】MAFIA BOSS WAKE UP AND MAKES A TITLE FOR A GAME CALLED SEKIRO【NIJISANJI EN | Luca Kaneshiro】
[20220118]fortnite.txt,294,https://www.youtube.com/watch?v=wqIxEYFsJ3M,【FORTNITE】FORTNITE NOOB CONVERTED INTO LOVING FORTNITE BC OF DRAGON【NIJISANJI EN | Luca Kaneshiro】
[20220119]friday_the_13th.txt,143,https://www.youtube.com/watch?v=dQ6CO9DNKW4,【FRIDAY THE 13TH】 MAFIA BOSS SHOWS HIS TRUE COLOURS (CHAOS POV) POG【NIJISANJI EN | Luca Kaneshiro】
[20220121]comfy_zatsudan.txt,159,https://www.youtube.com/watch?v=vsDR_ft3sSU,【ZATSUDAN】1 MONTH COMFY SOFT VOICE COULDN'T CATCH UP ON SUPERCHATS【NIJISANJI EN | Luca Kaneshiro】
[20220121]outlast2.txt,225,https://www.youtube.com/watch?v=P6YKkBCplDU,【OUTLAST II】FINISHING OUTLAST II WITH HEART RATE MONITOR POG【NIJISANJI EN | Luca Kaneshiro】
[20220123]sekiro2.txt,322,https://www.youtube.com/watch?v=10jTZGw84Ko,【SEKIRO】MAFIA BOSS ISEKAID AND BECOMES A SHINOBI PRODIGY【NIJISANJI EN | Luca Kaneshiro】
[20220125]clubhouse_collab.txt,270,https://www.youtube.com/watch?v=nJyJ3cWOOLk,【CLUBHOUSE GAMES】 TWO PEPEGA GUYS TRY AND PLAY GAMES THAT NEED 5HEAD【NIJISANJI EN | Luca Kaneshiro】
[20220126]monhun2_collab.txt,350,https://www.youtube.com/watch?v=8k65xZzrItM,【MONSTER HUNTER RISE】MAFIA BOSS TURNED HUNTER GETS CARRIED BY FEESH【NIJISANJI EN | Luca Kaneshiro】
[20220126]olympicgames_collab.txt,183,https://www.youtube.com/watch?v=5DL4v17csN0,【OLYMPIC GAMES】VERY POG OLYMPOG GAMES WITH I'M POMU【NIJISANJI EN | Luca Kaneshiro】
[20220127]pokemon_arceus.txt,284,https://www.youtube.com/watch?v=lIUFPmfqoAo,【POKEMON LEGENDS: ARCEUS】 WORLD FIRST GAMEPLAY POG! REAL!【NIJISANJI EN | Luca Kaneshiro】
[20220128]membership_stream.txt,149,https://www.youtube.com/watch?v=mwzVI1WygYc,【MEMBERSHIPS】MAFIA BOSS TAKES FIRST STEP TO REMAKING THE MAFIA【NIJISANJI EN | Luca Kaneshiro】
[20220128]ringfit.txt,186,https://www.youtube.com/watch?v=74PjnXmLivc,【RING FIT ADVENTURE】MAFIA BOSS AGAINST THE WORLD FIGHTS ALL EVEL POGG【NIJISANJI EN | Luca Kaneshiro】
[20220207]super_bunny.txt,380,https://www.youtube.com/watch?v=A_1v8r_fSCQ,【SUPER BUNNY MAN】 BOSS AND SORCERER I HARDLY EVEN KNOW HER COGGERS【NIJISANJI EN | Luca Kaneshiro】
[20220129]sekiro3.txt,332,https://www.youtube.com/watch?v=vShSRtQFC5s,【SEKIRO】WORLDS BEST SEKIRO NOOB BEATS GAME WITH NO DEATHS ACTUAL POG【NIJISANJI EN | Luca Kaneshiro】
[20220201]comfy_zatsudan2.txt,185,https://www.youtube.com/watch?v=2I9-ygBqPuo,【ZATSUDAN】MAFIA BOSS INCAPABLE OF BEING COMFY TRIES TO BE COMFY POG【NIJISANJI EN | Luca Kaneshiro】